image_id,angle,speed,filepath,angle_bin,speed_bin,pair_freq,sample_weight
0,0.0625,1.0,data/training_data/training_data/0.png,0.062,1.0,337,0.002967359050445104
3,0.4375,1.0,data/training_data/training_data/3.png,0.438,1.0,898,0.0011135857461024498
5,0.5625,1.0,data/training_data/training_data/5.png,0.562,1.0,1445,0.0006920415224913495
7,0.5,1.0,data/training_data/training_data/7.png,0.5,1.0,2145,0.0004662004662004662
8,0.8125,1.0,data/training_data/training_data/8.png,0.812,1.0,1176,0.0008503401360544217
9,0.5625,1.0,data/training_data/training_data/9.png,0.562,1.0,1445,0.0006920415224913495
10,0.875,1.0,data/training_data/training_data/10.png,0.875,1.0,363,0.0027548209366391185
11,0.5,0.0,data/training_data/training_data/11.png,0.5,0.0,1275,0.000784313725490196
12,0.1875,1.0,data/training_data/training_data/12.png,0.188,1.0,503,0.0019880715705765406
13,0.125,1.0,data/training_data/training_data/13.png,0.125,1.0,748,0.001336898395721925
14,0.5625,0.0,data/training_data/training_data/14.png,0.562,0.0,313,0.003194888178913738
15,0.125,1.0,data/training_data/training_data/15.png,0.125,1.0,748,0.001336898395721925
16,0.75,1.0,data/training_data/training_data/16.png,0.75,1.0,1173,0.0008525149190110827
17,0.1875,1.0,data/training_data/training_data/17.png,0.188,1.0,503,0.0019880715705765406
18,0.6875,1.0,data/training_data/training_data/18.png,0.688,1.0,844,0.001184834123222749
19,0.1875,1.0,data/training_data/training_data/19.png,0.188,1.0,503,0.0019880715705765406
20,0.375,1.0,data/training_data/training_data/20.png,0.375,1.0,290,0.0034482758620689655
21,0.4375,1.0,data/training_data/training_data/21.png,0.438,1.0,898,0.0011135857461024498
22,0.75,1.0,data/training_data/training_data/22.png,0.75,1.0,1173,0.0008525149190110827
23,0.8125,1.0,data/training_data/training_data/23.png,0.812,1.0,1176,0.0008503401360544217
24,0.6875,1.0,data/training_data/training_data/24.png,0.688,1.0,844,0.001184834123222749
25,0.0625,1.0,data/training_data/training_data/25.png,0.062,1.0,337,0.002967359050445104
26,0.6875,1.0,data/training_data/training_data/26.png,0.688,1.0,844,0.001184834123222749
27,0.4375,1.0,data/training_data/training_data/27.png,0.438,1.0,898,0.0011135857461024498
28,0.6875,1.0,data/training_data/training_data/28.png,0.688,1.0,844,0.001184834123222749
29,0.375,1.0,data/training_data/training_data/29.png,0.375,1.0,290,0.0034482758620689655
30,0.5625,0.0,data/training_data/training_data/30.png,0.562,0.0,313,0.003194888178913738
31,0.75,1.0,data/training_data/training_data/31.png,0.75,1.0,1173,0.0008525149190110827
32,0.8125,1.0,data/training_data/training_data/32.png,0.812,1.0,1176,0.0008503401360544217
33,0.6875,0.0,data/training_data/training_data/33.png,0.688,0.0,179,0.00558659217877095
34,0.6875,1.0,data/training_data/training_data/34.png,0.688,1.0,844,0.001184834123222749
35,0.125,1.0,data/training_data/training_data/35.png,0.125,1.0,748,0.001336898395721925
36,0.1875,1.0,data/training_data/training_data/36.png,0.188,1.0,503,0.0019880715705765406
37,0.5625,1.0,data/training_data/training_data/37.png,0.562,1.0,1445,0.0006920415224913495
38,0.0625,0.0,data/training_data/training_data/38.png,0.062,0.0,34,0.029411764705882353
39,1.0,1.0,data/training_data/training_data/39.png,1.0,1.0,87,0.011494252873563218
40,0.6875,0.0,data/training_data/training_data/40.png,0.688,0.0,179,0.00558659217877095
41,0.4375,1.0,data/training_data/training_data/41.png,0.438,1.0,898,0.0011135857461024498
42,0.6875,1.0,data/training_data/training_data/42.png,0.688,1.0,844,0.001184834123222749
43,0.75,1.0,data/training_data/training_data/43.png,0.75,1.0,1173,0.0008525149190110827
44,0.625,1.0,data/training_data/training_data/44.png,0.625,1.0,736,0.001358695652173913
45,0.4375,1.0,data/training_data/training_data/45.png,0.438,1.0,898,0.0011135857461024498
46,0.5625,1.0,data/training_data/training_data/46.png,0.562,1.0,1445,0.0006920415224913495
47,0.5625,1.0,data/training_data/training_data/47.png,0.562,1.0,1445,0.0006920415224913495
48,0.6875,0.0,data/training_data/training_data/48.png,0.688,0.0,179,0.00558659217877095
49,0.1875,1.0,data/training_data/training_data/49.png,0.188,1.0,503,0.0019880715705765406
50,0.5625,0.0,data/training_data/training_data/50.png,0.562,0.0,313,0.003194888178913738
51,0.4375,1.0,data/training_data/training_data/51.png,0.438,1.0,898,0.0011135857461024498
52,0.8125,1.0,data/training_data/training_data/52.png,0.812,1.0,1176,0.0008503401360544217
53,0.5,1.0,data/training_data/training_data/53.png,0.5,1.0,2145,0.0004662004662004662
54,0.8125,1.0,data/training_data/training_data/54.png,0.812,1.0,1176,0.0008503401360544217
55,0.75,1.0,data/training_data/training_data/55.png,0.75,1.0,1173,0.0008525149190110827
56,0.625,1.0,data/training_data/training_data/56.png,0.625,1.0,736,0.001358695652173913
57,0.4375,0.0,data/training_data/training_data/57.png,0.438,0.0,90,0.011111111111111112
59,0.4375,1.0,data/training_data/training_data/59.png,0.438,1.0,898,0.0011135857461024498
60,0.625,1.0,data/training_data/training_data/60.png,0.625,1.0,736,0.001358695652173913
61,0.5,1.0,data/training_data/training_data/61.png,0.5,1.0,2145,0.0004662004662004662
62,0.5625,1.0,data/training_data/training_data/62.png,0.562,1.0,1445,0.0006920415224913495
63,0.6875,1.0,data/training_data/training_data/63.png,0.688,1.0,844,0.001184834123222749
64,0.0625,1.0,data/training_data/training_data/64.png,0.062,1.0,337,0.002967359050445104
65,0.5625,1.0,data/training_data/training_data/65.png,0.562,1.0,1445,0.0006920415224913495
66,0.625,1.0,data/training_data/training_data/66.png,0.625,1.0,736,0.001358695652173913
67,0.875,1.0,data/training_data/training_data/67.png,0.875,1.0,363,0.0027548209366391185
68,0.5,1.0,data/training_data/training_data/68.png,0.5,1.0,2145,0.0004662004662004662
69,0.5,1.0,data/training_data/training_data/69.png,0.5,1.0,2145,0.0004662004662004662
70,0.4375,1.0,data/training_data/training_data/70.png,0.438,1.0,898,0.0011135857461024498
72,0.125,1.0,data/training_data/training_data/72.png,0.125,1.0,748,0.001336898395721925
73,0.875,1.0,data/training_data/training_data/73.png,0.875,1.0,363,0.0027548209366391185
74,0.75,1.0,data/training_data/training_data/74.png,0.75,1.0,1173,0.0008525149190110827
75,0.6875,1.0,data/training_data/training_data/75.png,0.688,1.0,844,0.001184834123222749
76,0.8125,1.0,data/training_data/training_data/76.png,0.812,1.0,1176,0.0008503401360544217
77,0.0625,1.0,data/training_data/training_data/77.png,0.062,1.0,337,0.002967359050445104
78,0.5625,1.0,data/training_data/training_data/78.png,0.562,1.0,1445,0.0006920415224913495
79,0.125,1.0,data/training_data/training_data/79.png,0.125,1.0,748,0.001336898395721925
80,0.8125,1.0,data/training_data/training_data/80.png,0.812,1.0,1176,0.0008503401360544217
81,0.5,1.0,data/training_data/training_data/81.png,0.5,1.0,2145,0.0004662004662004662
82,0.5,1.0,data/training_data/training_data/82.png,0.5,1.0,2145,0.0004662004662004662
83,0.1875,1.0,data/training_data/training_data/83.png,0.188,1.0,503,0.0019880715705765406
84,0.6875,1.0,data/training_data/training_data/84.png,0.688,1.0,844,0.001184834123222749
85,0.4375,1.0,data/training_data/training_data/85.png,0.438,1.0,898,0.0011135857461024498
86,0.1875,1.0,data/training_data/training_data/86.png,0.188,1.0,503,0.0019880715705765406
87,0.625,1.0,data/training_data/training_data/87.png,0.625,1.0,736,0.001358695652173913
88,0.75,1.0,data/training_data/training_data/88.png,0.75,1.0,1173,0.0008525149190110827
89,0.6875,1.0,data/training_data/training_data/89.png,0.688,1.0,844,0.001184834123222749
90,0.5625,1.0,data/training_data/training_data/90.png,0.562,1.0,1445,0.0006920415224913495
91,0.375,1.0,data/training_data/training_data/91.png,0.375,1.0,290,0.0034482758620689655
92,0.375,1.0,data/training_data/training_data/92.png,0.375,1.0,290,0.0034482758620689655
93,0.4375,1.0,data/training_data/training_data/93.png,0.438,1.0,898,0.0011135857461024498
94,0.5,1.0,data/training_data/training_data/94.png,0.5,1.0,2145,0.0004662004662004662
95,0.625,1.0,data/training_data/training_data/95.png,0.625,1.0,736,0.001358695652173913
96,0.5,1.0,data/training_data/training_data/96.png,0.5,1.0,2145,0.0004662004662004662
97,0.75,0.0,data/training_data/training_data/97.png,0.75,0.0,233,0.004291845493562232
98,0.5625,1.0,data/training_data/training_data/98.png,0.562,1.0,1445,0.0006920415224913495
99,0.75,1.0,data/training_data/training_data/99.png,0.75,1.0,1173,0.0008525149190110827
100,0.5625,1.0,data/training_data/training_data/100.png,0.562,1.0,1445,0.0006920415224913495
101,0.8125,1.0,data/training_data/training_data/101.png,0.812,1.0,1176,0.0008503401360544217
102,0.5,0.0,data/training_data/training_data/102.png,0.5,0.0,1275,0.000784313725490196
103,0.6875,1.0,data/training_data/training_data/103.png,0.688,1.0,844,0.001184834123222749
104,0.75,1.0,data/training_data/training_data/104.png,0.75,1.0,1173,0.0008525149190110827
105,0.5625,1.0,data/training_data/training_data/105.png,0.562,1.0,1445,0.0006920415224913495
106,0.5,1.0,data/training_data/training_data/106.png,0.5,1.0,2145,0.0004662004662004662
107,0.5625,1.0,data/training_data/training_data/107.png,0.562,1.0,1445,0.0006920415224913495
108,0.5,1.0,data/training_data/training_data/108.png,0.5,1.0,2145,0.0004662004662004662
109,0.75,1.0,data/training_data/training_data/109.png,0.75,1.0,1173,0.0008525149190110827
110,0.5625,1.0,data/training_data/training_data/110.png,0.562,1.0,1445,0.0006920415224913495
111,0.5,0.0,data/training_data/training_data/111.png,0.5,0.0,1275,0.000784313725490196
112,0.5,0.0,data/training_data/training_data/112.png,0.5,0.0,1275,0.000784313725490196
113,0.875,1.0,data/training_data/training_data/113.png,0.875,1.0,363,0.0027548209366391185
114,0.0625,1.0,data/training_data/training_data/114.png,0.062,1.0,337,0.002967359050445104
115,0.4375,1.0,data/training_data/training_data/115.png,0.438,1.0,898,0.0011135857461024498
116,0.5625,0.0,data/training_data/training_data/116.png,0.562,0.0,313,0.003194888178913738
117,0.75,1.0,data/training_data/training_data/117.png,0.75,1.0,1173,0.0008525149190110827
118,0.5,1.0,data/training_data/training_data/118.png,0.5,1.0,2145,0.0004662004662004662
119,0.5,1.0,data/training_data/training_data/119.png,0.5,1.0,2145,0.0004662004662004662
120,0.4375,1.0,data/training_data/training_data/120.png,0.438,1.0,898,0.0011135857461024498
121,0.75,1.0,data/training_data/training_data/121.png,0.75,1.0,1173,0.0008525149190110827
122,0.75,1.0,data/training_data/training_data/122.png,0.75,1.0,1173,0.0008525149190110827
123,0.8125,1.0,data/training_data/training_data/123.png,0.812,1.0,1176,0.0008503401360544217
124,0.625,1.0,data/training_data/training_data/124.png,0.625,1.0,736,0.001358695652173913
125,0.5625,1.0,data/training_data/training_data/125.png,0.562,1.0,1445,0.0006920415224913495
126,0.5625,1.0,data/training_data/training_data/126.png,0.562,1.0,1445,0.0006920415224913495
127,0.5,1.0,data/training_data/training_data/127.png,0.5,1.0,2145,0.0004662004662004662
128,0.5625,1.0,data/training_data/training_data/128.png,0.562,1.0,1445,0.0006920415224913495
129,0.5,0.0,data/training_data/training_data/129.png,0.5,0.0,1275,0.000784313725490196
130,0.4375,1.0,data/training_data/training_data/130.png,0.438,1.0,898,0.0011135857461024498
131,0.6875,1.0,data/training_data/training_data/131.png,0.688,1.0,844,0.001184834123222749
132,0.5,1.0,data/training_data/training_data/132.png,0.5,1.0,2145,0.0004662004662004662
133,0.9375,1.0,data/training_data/training_data/133.png,0.938,1.0,101,0.009900990099009901
134,0.5625,1.0,data/training_data/training_data/134.png,0.562,1.0,1445,0.0006920415224913495
136,0.75,1.0,data/training_data/training_data/136.png,0.75,1.0,1173,0.0008525149190110827
137,0.6875,1.0,data/training_data/training_data/137.png,0.688,1.0,844,0.001184834123222749
138,0.9375,0.0,data/training_data/training_data/138.png,0.938,0.0,38,0.02631578947368421
139,0.1875,1.0,data/training_data/training_data/139.png,0.188,1.0,503,0.0019880715705765406
140,0.5,0.0,data/training_data/training_data/140.png,0.5,0.0,1275,0.000784313725490196
141,0.1875,1.0,data/training_data/training_data/141.png,0.188,1.0,503,0.0019880715705765406
142,0.5,0.0,data/training_data/training_data/142.png,0.5,0.0,1275,0.000784313725490196
143,0.5,1.0,data/training_data/training_data/143.png,0.5,1.0,2145,0.0004662004662004662
144,0.6875,1.0,data/training_data/training_data/144.png,0.688,1.0,844,0.001184834123222749
145,0.5625,1.0,data/training_data/training_data/145.png,0.562,1.0,1445,0.0006920415224913495
146,0.0625,1.0,data/training_data/training_data/146.png,0.062,1.0,337,0.002967359050445104
147,0.625,1.0,data/training_data/training_data/147.png,0.625,1.0,736,0.001358695652173913
148,0.0,1.0,data/training_data/training_data/148.png,0.0,1.0,83,0.012048192771084338
149,0.1875,1.0,data/training_data/training_data/149.png,0.188,1.0,503,0.0019880715705765406
150,0.375,1.0,data/training_data/training_data/150.png,0.375,1.0,290,0.0034482758620689655
151,0.875,1.0,data/training_data/training_data/151.png,0.875,1.0,363,0.0027548209366391185
152,0.125,1.0,data/training_data/training_data/152.png,0.125,1.0,748,0.001336898395721925
