INDEX | LAYER NAME (MobileNetV3Large)
--------------------------------------------------
    0 | input_4
    1 | rescaling_1
    2 | Conv
    3 | Conv/BatchNorm
    4 | tf.__operators__.add_27
    5 | re_lu_32
    6 | tf.math.multiply_27
    7 | multiply_18
    8 | expanded_conv/depthwise
    9 | expanded_conv/depthwise/BatchNorm
   10 | re_lu_33
   11 | expanded_conv/project
   12 | expanded_conv/project/BatchNorm
   13 | expanded_conv/Add
   14 | expanded_conv_1/expand
   15 | expanded_conv_1/expand/BatchNorm
   16 | re_lu_34
   17 | expanded_conv_1/depthwise/pad
   18 | expanded_conv_1/depthwise
   19 | expanded_conv_1/depthwise/BatchNorm
   20 | re_lu_35
   21 | expanded_conv_1/project
   22 | expanded_conv_1/project/BatchNorm
   23 | expanded_conv_2/expand
   24 | expanded_conv_2/expand/BatchNorm
   25 | re_lu_36
   26 | expanded_conv_2/depthwise
   27 | expanded_conv_2/depthwise/BatchNorm
   28 | re_lu_37
   29 | expanded_conv_2/project
   30 | expanded_conv_2/project/BatchNorm
   31 | expanded_conv_2/Add
   32 | expanded_conv_3/expand
   33 | expanded_conv_3/expand/BatchNorm
   34 | re_lu_38
   35 | expanded_conv_3/depthwise/pad
   36 | expanded_conv_3/depthwise
   37 | expanded_conv_3/depthwise/BatchNorm
   38 | re_lu_39
   39 | expanded_conv_3/squeeze_excite/AvgPool
   40 | expanded_conv_3/squeeze_excite/Conv
   41 | expanded_conv_3/squeeze_excite/Relu
   42 | expanded_conv_3/squeeze_excite/Conv_1
   43 | tf.__operators__.add_28
   44 | re_lu_40
   45 | tf.math.multiply_28
   46 | expanded_conv_3/squeeze_excite/Mul
   47 | expanded_conv_3/project
   48 | expanded_conv_3/project/BatchNorm
   49 | expanded_conv_4/expand
   50 | expanded_conv_4/expand/BatchNorm
   51 | re_lu_41
   52 | expanded_conv_4/depthwise
   53 | expanded_conv_4/depthwise/BatchNorm
   54 | re_lu_42
   55 | expanded_conv_4/squeeze_excite/AvgPool
   56 | expanded_conv_4/squeeze_excite/Conv
   57 | expanded_conv_4/squeeze_excite/Relu
   58 | expanded_conv_4/squeeze_excite/Conv_1
   59 | tf.__operators__.add_29
   60 | re_lu_43
   61 | tf.math.multiply_29
   62 | expanded_conv_4/squeeze_excite/Mul
   63 | expanded_conv_4/project
   64 | expanded_conv_4/project/BatchNorm
   65 | expanded_conv_4/Add
   66 | expanded_conv_5/expand
   67 | expanded_conv_5/expand/BatchNorm
   68 | re_lu_44
   69 | expanded_conv_5/depthwise
   70 | expanded_conv_5/depthwise/BatchNorm
   71 | re_lu_45
   72 | expanded_conv_5/squeeze_excite/AvgPool
   73 | expanded_conv_5/squeeze_excite/Conv
   74 | expanded_conv_5/squeeze_excite/Relu
   75 | expanded_conv_5/squeeze_excite/Conv_1
   76 | tf.__operators__.add_30
   77 | re_lu_46
   78 | tf.math.multiply_30
   79 | expanded_conv_5/squeeze_excite/Mul
   80 | expanded_conv_5/project
   81 | expanded_conv_5/project/BatchNorm
   82 | expanded_conv_5/Add
   83 | expanded_conv_6/expand
   84 | expanded_conv_6/expand/BatchNorm
   85 | tf.__operators__.add_31
   86 | re_lu_47
   87 | tf.math.multiply_31
   88 | multiply_19
   89 | expanded_conv_6/depthwise/pad
   90 | expanded_conv_6/depthwise
   91 | expanded_conv_6/depthwise/BatchNorm
   92 | tf.__operators__.add_32
   93 | re_lu_48
   94 | tf.math.multiply_32
   95 | multiply_20
   96 | expanded_conv_6/project
   97 | expanded_conv_6/project/BatchNorm
   98 | expanded_conv_7/expand
   99 | expanded_conv_7/expand/BatchNorm
  100 | tf.__operators__.add_33
  101 | re_lu_49
  102 | tf.math.multiply_33
  103 | multiply_21
  104 | expanded_conv_7/depthwise
  105 | expanded_conv_7/depthwise/BatchNorm
  106 | tf.__operators__.add_34
  107 | re_lu_50
  108 | tf.math.multiply_34
  109 | multiply_22
  110 | expanded_conv_7/project
  111 | expanded_conv_7/project/BatchNorm
  112 | expanded_conv_7/Add
  113 | expanded_conv_8/expand
  114 | expanded_conv_8/expand/BatchNorm
  115 | tf.__operators__.add_35
  116 | re_lu_51
  117 | tf.math.multiply_35
  118 | multiply_23
  119 | expanded_conv_8/depthwise
  120 | expanded_conv_8/depthwise/BatchNorm
  121 | tf.__operators__.add_36
  122 | re_lu_52
  123 | tf.math.multiply_36
  124 | multiply_24
  125 | expanded_conv_8/project
  126 | expanded_conv_8/project/BatchNorm
  127 | expanded_conv_8/Add
  128 | expanded_conv_9/expand
  129 | expanded_conv_9/expand/BatchNorm
  130 | tf.__operators__.add_37
  131 | re_lu_53
  132 | tf.math.multiply_37
  133 | multiply_25
  134 | expanded_conv_9/depthwise
  135 | expanded_conv_9/depthwise/BatchNorm
  136 | tf.__operators__.add_38
  137 | re_lu_54
  138 | tf.math.multiply_38
  139 | multiply_26
  140 | expanded_conv_9/project
  141 | expanded_conv_9/project/BatchNorm
  142 | expanded_conv_9/Add
  143 | expanded_conv_10/expand
  144 | expanded_conv_10/expand/BatchNorm
  145 | tf.__operators__.add_39
  146 | re_lu_55
  147 | tf.math.multiply_39
  148 | multiply_27
  149 | expanded_conv_10/depthwise
  150 | expanded_conv_10/depthwise/BatchNorm
  151 | tf.__operators__.add_40
  152 | re_lu_56
  153 | tf.math.multiply_40
  154 | multiply_28
  155 | expanded_conv_10/squeeze_excite/AvgPool
  156 | expanded_conv_10/squeeze_excite/Conv
  157 | expanded_conv_10/squeeze_excite/Relu
  158 | expanded_conv_10/squeeze_excite/Conv_1
  159 | tf.__operators__.add_41
  160 | re_lu_57
  161 | tf.math.multiply_41
  162 | expanded_conv_10/squeeze_excite/Mul
  163 | expanded_conv_10/project
  164 | expanded_conv_10/project/BatchNorm
  165 | expanded_conv_11/expand
  166 | expanded_conv_11/expand/BatchNorm
  167 | tf.__operators__.add_42
  168 | re_lu_58
  169 | tf.math.multiply_42
  170 | multiply_29
  171 | expanded_conv_11/depthwise
  172 | expanded_conv_11/depthwise/BatchNorm
  173 | tf.__operators__.add_43
  174 | re_lu_59
  175 | tf.math.multiply_43
  176 | multiply_30
  177 | expanded_conv_11/squeeze_excite/AvgPool
  178 | expanded_conv_11/squeeze_excite/Conv
  179 | expanded_conv_11/squeeze_excite/Relu
  180 | expanded_conv_11/squeeze_excite/Conv_1
  181 | tf.__operators__.add_44
  182 | re_lu_60
  183 | tf.math.multiply_44
  184 | expanded_conv_11/squeeze_excite/Mul
  185 | expanded_conv_11/project
  186 | expanded_conv_11/project/BatchNorm
  187 | expanded_conv_11/Add
  188 | expanded_conv_12/expand
