INDEX | LAYER NAME (MobileNetV3Small)
--------------------------------------------------
    0 | input_3
    1 | rescaling
    2 | Conv
    3 | Conv/BatchNorm
    4 | tf.__operators__.add
    5 | re_lu
    6 | tf.math.multiply
    7 | multiply
    8 | expanded_conv/depthwise/pad
    9 | expanded_conv/depthwise
   10 | expanded_conv/depthwise/BatchNorm
   11 | re_lu_1
   12 | expanded_conv/squeeze_excite/AvgPool
   13 | expanded_conv/squeeze_excite/Conv
   14 | expanded_conv/squeeze_excite/Relu
   15 | expanded_conv/squeeze_excite/Conv_1
   16 | tf.__operators__.add_1
   17 | re_lu_2
   18 | tf.math.multiply_1
   19 | expanded_conv/squeeze_excite/Mul
   20 | expanded_conv/project
   21 | expanded_conv/project/BatchNorm
   22 | expanded_conv_1/expand
   23 | expanded_conv_1/expand/BatchNorm
   24 | re_lu_3
   25 | expanded_conv_1/depthwise/pad
   26 | expanded_conv_1/depthwise
   27 | expanded_conv_1/depthwise/BatchNorm
   28 | re_lu_4
   29 | expanded_conv_1/project
   30 | expanded_conv_1/project/BatchNorm
   31 | expanded_conv_2/expand
   32 | expanded_conv_2/expand/BatchNorm
   33 | re_lu_5
   34 | expanded_conv_2/depthwise
   35 | expanded_conv_2/depthwise/BatchNorm
   36 | re_lu_6
   37 | expanded_conv_2/project
   38 | expanded_conv_2/project/BatchNorm
   39 | expanded_conv_2/Add
   40 | expanded_conv_3/expand
   41 | expanded_conv_3/expand/BatchNorm
   42 | tf.__operators__.add_2
   43 | re_lu_7
   44 | tf.math.multiply_2
   45 | multiply_1
   46 | expanded_conv_3/depthwise/pad
   47 | expanded_conv_3/depthwise
   48 | expanded_conv_3/depthwise/BatchNorm
   49 | tf.__operators__.add_3
   50 | re_lu_8
   51 | tf.math.multiply_3
   52 | multiply_2
   53 | expanded_conv_3/squeeze_excite/AvgPool
   54 | expanded_conv_3/squeeze_excite/Conv
   55 | expanded_conv_3/squeeze_excite/Relu
   56 | expanded_conv_3/squeeze_excite/Conv_1
   57 | tf.__operators__.add_4
   58 | re_lu_9
   59 | tf.math.multiply_4
   60 | expanded_conv_3/squeeze_excite/Mul
   61 | expanded_conv_3/project
   62 | expanded_conv_3/project/BatchNorm
   63 | expanded_conv_4/expand
   64 | expanded_conv_4/expand/BatchNorm
   65 | tf.__operators__.add_5
   66 | re_lu_10
   67 | tf.math.multiply_5
   68 | multiply_3
   69 | expanded_conv_4/depthwise
   70 | expanded_conv_4/depthwise/BatchNorm
   71 | tf.__operators__.add_6
   72 | re_lu_11
   73 | tf.math.multiply_6
   74 | multiply_4
   75 | expanded_conv_4/squeeze_excite/AvgPool
   76 | expanded_conv_4/squeeze_excite/Conv
   77 | expanded_conv_4/squeeze_excite/Relu
   78 | expanded_conv_4/squeeze_excite/Conv_1
   79 | tf.__operators__.add_7
   80 | re_lu_12
   81 | tf.math.multiply_7
   82 | expanded_conv_4/squeeze_excite/Mul
   83 | expanded_conv_4/project
   84 | expanded_conv_4/project/BatchNorm
   85 | expanded_conv_4/Add
   86 | expanded_conv_5/expand
   87 | expanded_conv_5/expand/BatchNorm
   88 | tf.__operators__.add_8
   89 | re_lu_13
   90 | tf.math.multiply_8
   91 | multiply_5
   92 | expanded_conv_5/depthwise
   93 | expanded_conv_5/depthwise/BatchNorm
   94 | tf.__operators__.add_9
   95 | re_lu_14
   96 | tf.math.multiply_9
   97 | multiply_6
   98 | expanded_conv_5/squeeze_excite/AvgPool
   99 | expanded_conv_5/squeeze_excite/Conv
  100 | expanded_conv_5/squeeze_excite/Relu
  101 | expanded_conv_5/squeeze_excite/Conv_1
  102 | tf.__operators__.add_10
  103 | re_lu_15
  104 | tf.math.multiply_10
  105 | expanded_conv_5/squeeze_excite/Mul
  106 | expanded_conv_5/project
  107 | expanded_conv_5/project/BatchNorm
  108 | expanded_conv_5/Add
  109 | expanded_conv_6/expand
  110 | expanded_conv_6/expand/BatchNorm
  111 | tf.__operators__.add_11
  112 | re_lu_16
  113 | tf.math.multiply_11
  114 | multiply_7
  115 | expanded_conv_6/depthwise
  116 | expanded_conv_6/depthwise/BatchNorm
  117 | tf.__operators__.add_12
  118 | re_lu_17
  119 | tf.math.multiply_12
  120 | multiply_8
  121 | expanded_conv_6/squeeze_excite/AvgPool
  122 | expanded_conv_6/squeeze_excite/Conv
  123 | expanded_conv_6/squeeze_excite/Relu
  124 | expanded_conv_6/squeeze_excite/Conv_1
  125 | tf.__operators__.add_13
  126 | re_lu_18
  127 | tf.math.multiply_13
